ep,step,score,aug_score,exploration_rate
205,281,294.460979825059,-682.1209491191551,0.01
206,211,237.0539051176542,-404.98992268009766,0.01
207,306,228.34971482590194,-1007.906297767465,0.01
208,194,252.9560998803617,-454.7971630539133,0.01
209,210,221.7918023780635,-657.9123584111969,0.01
210,424,279.5573606967429,-812.9793823161539,0.01
211,67,-66.21122673345478,-540.4692940991902,0.01
212,145,273.293810193431,-243.65430543198772,0.01
213,316,190.49725332121545,-720.4332437738883,0.01
214,255,282.21701442683667,-464.3958965107104,0.01
215,159,248.97532428891628,-444.30574057114063,0.01
216,208,0.2709498609940937,-1230.2432997171243,0.01
217,114,-37.52388598991642,-838.4277576418885,0.01
218,234,9.518376288185067,-1159.9063128259086,0.01
219,113,-7.738364924765818,-703.4891134398947,0.01
220,120,-186.83986969615512,-1054.2234042831424,0.01
221,452,246.5163433742729,-1793.3848800656833,0.01
222,290,239.56708984811098,-1013.13099448906,0.01
223,77,-38.290161537603225,-591.7840942094481,0.01
224,285,233.17157899635828,-696.541411153498,0.01
225,162,262.96559833384094,-321.1436537404273,0.01
226,129,-122.53601339702502,-1057.2143257880678,0.01
227,260,306.5459179535387,-470.19773345085537,0.01
228,252,262.54932419430355,-643.572736379821,0.01
229,210,278.1132093947788,-381.21025162721656,0.01
230,221,238.70889823795483,-365.3131087552273,0.01
231,95,15.284208392618524,-730.5618688344152,0.01
232,124,-24.920617773266443,-978.8663995387717,0.01
233,149,-123.13995290058102,-1305.9089826743516,0.01
234,97,-18.850228787403537,-852.2440277049352,0.01
235,267,231.3776953643893,-550.1845057363613,0.01
236,90,-237.9667531934053,-1163.5436262984244,0.01
237,75,0.3955131254972315,-529.1299886467987,0.01
238,209,270.0084504754892,-342.2351514643552,0.01
239,286,240.88107583556905,-457.6981647431229,0.01
240,196,253.58410091985598,-430.00393408843195,0.01
241,497,252.053302564588,-1206.203830078314,0.01
242,83,-33.59684920843232,-703.2046088480531,0.01
243,151,-104.73909845598355,-916.1295520330249,0.01
244,199,241.5042292713359,-610.2381211601503,0.01
245,227,257.5648207747724,-504.25341214687774,0.01
246,240,264.2261059994467,-557.0302171873785,0.01
247,188,-27.420043356307318,-714.0305736824504,0.01
248,267,258.2488795743778,-1089.2836522244086,0.01
249,501,185.43731346241162,-789.7885182239908,0.01
250,155,-127.85810019799383,-736.4732633505655,0.01
251,175,-241.66412473005758,-712.932653574287,0.01
252,250,278.51105664858346,-244.04073312644232,0.01
253,478,283.3753716943129,-1098.6183091177163,0.01
254,135,244.32471238859725,-262.5601793561059,0.01
255,177,290.981183820093,-269.43258824614753,0.01
256,353,251.99855732211685,-1114.2476348117223,0.01
257,506,271.70110646319506,-613.9380147850452,0.01
258,119,-73.64552622719455,-664.2435300006782,0.01
259,163,-186.43837986782796,-829.8614001440675,0.01
260,297,294.7580362691256,-273.190171716484,0.01
261,499,180.8212547133317,-1119.9152746853758,0.01
262,217,219.69932891609824,-525.4024816047888,0.01
263,414,238.91911985488227,-463.03461860031405,0.01
264,180,270.4952851881921,-320.60181013035407,0.01
265,254,223.6504853524338,-854.24278296455,0.01
266,197,282.2557709568719,-690.6209502021013,0.01
267,201,-207.57613622560814,-1382.0455476680127,0.01
268,153,252.571088616874,-287.2561959948005,0.01
269,267,248.05301081501204,-359.6801011544155,0.01
270,118,-256.6770318270324,-1274.349709300196,0.01
271,330,239.90009233924687,-752.6734145403144,0.01
272,147,234.4590595552381,-388.6914124152007,0.01
273,424,210.82004131504334,-1492.97444438341,0.01
274,246,245.8063745216998,-482.46959252693875,0.01
275,128,-159.94013553258958,-1089.8177236854742,0.01
276,263,274.92975453726814,-866.1431431747328,0.01
277,124,-121.99776118392157,-1264.0793458163175,0.01
278,173,274.70835787817805,-301.71353269493255,0.01
279,213,284.351500227737,-870.7163864661318,0.01
280,796,218.9163616779363,-1160.2283425277487,0.01
281,196,254.42286919634648,-409.14963206196694,0.01
282,215,246.4353047935102,-540.0784291050994,0.01
283,102,29.781891377999187,-752.920386921258,0.01
284,266,266.2785529609778,-522.906627067167,0.01
285,210,246.61688923086683,-637.2937882726783,0.01
286,221,257.5941190211489,-376.53871679395877,0.01
287,296,224.89290266867982,-746.8795238494655,0.01
288,185,228.9140407267954,-771.6518841644751,0.01
289,320,228.4860012556366,-758.4808674322497,0.01
290,372,243.36121770095986,-761.28341414026,0.01
291,173,-185.84210040577045,-1374.175698781089,0.01
292,943,203.546340677547,-1373.2061392344108,0.01
293,357,241.47909255735334,-831.1667114626401,0.01
294,626,167.91393979445778,-1115.2514011617238,0.01
295,305,241.76567762267393,-832.427044430884,0.01
296,90,-54.84268674613357,-681.7443009650838,0.01
297,111,-335.5127317751736,-1397.9538693944899,0.01
298,344,217.48275304312932,-643.4223124456387,0.01
299,301,246.95440785231088,-538.1353511547862,0.01
300,93,-95.37836706148128,-1059.885147343144,0.01
301,220,263.14092197666344,-438.2180296230233,0.01
302,364,236.22783201438483,-964.002290391825,0.01
303,320,249.29869421116055,-602.4173969816321,0.01
304,78,-42.53986182017529,-680.3832939299779,0.01
305,525,252.77352085738232,-1143.6539399301446,0.01
306,111,11.392759793480863,-957.5971835795359,0.01
307,789,171.9182890532922,-1050.8152865529594,0.01
308,440,186.43660414293493,-1982.3408680848765,0.01
309,430,181.4894787124916,-843.0824259218666,0.01
310,519,181.01429895490088,-1693.4465213353583,0.01
311,334,223.9223345330873,-758.0180128777669,0.01
312,246,-149.1001877938054,-822.0559211265892,0.01
313,386,199.8622133348141,-755.6724065043495,0.01
314,204,-18.556628563338734,-2105.3735627242268,0.01
315,272,235.50517935252427,-755.9229720063255,0.01
316,269,262.7443868498972,-544.5952668473743,0.01
317,183,254.04656547157384,-450.8951419960862,0.01
318,232,254.26223791758343,-806.5114053376503,0.01
319,307,250.7226773862323,-967.0030280634687,0.01
320,78,-51.67585193114685,-748.5252269653641,0.01
321,186,267.7543730500419,-611.160701747071,0.01
322,253,231.58437541681343,-669.7674184811071,0.01
323,263,284.64176122563543,-246.4209260442421,0.01
324,108,-59.113541594418244,-814.3395662072021,0.01
325,69,-24.71052491695069,-527.9745370208509,0.01
326,92,-79.32273661165229,-594.4246567730484,0.01
327,260,262.7966314287092,-1021.5611168188589,0.01
328,73,-32.15365277788878,-701.0787484254624,0.01
329,108,38.373226077523384,-610.2024315472272,0.01
330,99,6.717708138784488,-664.2856193246195,0.01
331,85,2.4087992430849283,-568.0532771042364,0.01
332,179,275.3838464050108,-325.10484036612127,0.01
333,535,246.4917691924317,-787.1352945140853,0.01
334,69,17.342863261239486,-443.97616517997255,0.01
335,369,228.03753522974353,-504.38183652011253,0.01
336,196,278.4863836514102,-716.3577094041714,0.01
337,595,243.71444883078215,-1136.0155084168366,0.01
338,199,289.6550003666556,-328.32204695845644,0.01
339,251,291.5543008464466,-271.76770588065676,0.01
340,254,265.75521820986876,-1018.4488119610796,0.01
341,263,290.1901073735945,-374.3235461185474,0.01
342,114,-145.21237091163437,-908.8376370677935,0.01
343,299,219.9530903941559,-554.7282887676196,0.01
344,307,232.1403538276044,-836.9389065811566,0.01
345,83,-37.2576780518032,-639.0902439801466,0.01
346,185,283.96840449974576,-292.99643116625793,0.01
347,234,266.98944046357246,-414.77750105267967,0.01
348,261,226.44266816369662,-732.9528883505125,0.01
349,217,280.63234007255403,-945.7004034789109,0.01
350,199,302.0609688156123,-252.2449316163246,0.01
351,211,288.91590027591377,-824.8592905340612,0.01
352,462,251.85836505448694,-311.4095872194048,0.01
353,314,211.69244073925537,-684.6772591896541,0.01
354,81,20.639833843319735,-473.68001932466126,0.01
355,87,15.548582164905795,-569.8626618000118,0.01
356,215,261.7068541970552,-475.24373071506477,0.01
357,171,269.03611790559603,-347.1525870712157,0.01
358,97,-15.25185119660695,-893.3829502418831,0.01
359,237,264.8891359284395,-933.4977628026754,0.01
360,272,278.5712474173118,-841.0830376913875,0.01
361,78,-5.268577589086405,-515.3501519052231,0.01
362,84,19.746573099473068,-506.81911883635667,0.01
363,182,245.00700620650673,-463.33138348119803,0.01
364,441,211.81343807633056,-625.7333216720353,0.01
365,96,35.71478637569152,-587.4130264245384,0.01
366,155,210.81920163480748,-414.4362001593761,0.01
367,369,238.83552122527885,-1445.0187469772784,0.01
368,180,233.95505791361632,-551.5574513578857,0.01
369,97,-16.266173921038174,-787.2203816710748,0.01
370,216,281.4109499587797,-966.8659171359031,0.01
371,301,180.41230218629374,-613.0827054861695,0.01
372,255,219.47938655724022,-622.8311995301647,0.01
373,215,21.290585877683966,-801.0773249395814,0.01
374,73,8.326805635351064,-451.523065738384,0.01
375,147,256.4861660392604,-234.30783623013417,0.01
376,482,276.32489070879706,-395.81618269205495,0.01
377,297,268.2926470545239,-914.6838493406083,0.01
378,270,293.0194174044889,-555.4375786697481,0.01
379,242,279.5050569426258,-1366.2644348256433,0.01
380,288,262.32271281103726,-331.58033103489333,0.01
381,120,-23.750886314327033,-1114.459051334077,0.01
382,544,234.63965422907128,-330.25914554421786,0.01
383,367,240.79050239631624,-387.1768064343857,0.01
384,276,251.51614467298316,-713.4452317376639,0.01
385,229,259.94534340531635,-480.8326370884146,0.01
386,267,220.0010234144058,-522.8118558835935,0.01
387,156,-19.938120595028423,-1135.2020437734552,0.01
388,229,228.5714029057825,-649.4551432258045,0.01
389,1000,41.7255008682941,-794.6821601278973,0.01
390,249,229.43648682918015,-629.6220873108913,0.01
391,303,260.2819601974894,-783.1799478987253,0.01
392,355,255.58615654012578,-2178.213942728576,0.01
393,261,271.9356774729938,-469.66023688562825,0.01
394,137,-22.33253395000594,-1061.735251078983,0.01
395,366,192.77595315092444,-577.0174205708446,0.01
396,524,228.91685032365524,-491.1204522979831,0.01
397,301,280.32806617593326,-347.44608141678435,0.01
398,203,246.87508422423178,-588.7601391557092,0.01
399,202,233.40952621970106,-625.6416097686375,0.01
400,356,215.57061839086643,-1189.248338610101,0.01
401,482,215.0198273333034,-1570.654038566139,0.01
402,210,265.8628856429075,-820.5003726054027,0.01
403,218,250.14088618193952,-459.52081202002296,0.01
404,202,226.8435659521224,-714.4813219266053,0.01
405,324,283.11595937520576,-622.7215540231214,0.01
406,285,230.17642375321864,-707.2520963823616,0.01
407,199,291.71648368152756,-281.96224647908184,0.01
408,327,222.73256284202807,-982.1802584382751,0.01
409,201,-1.9219992036556164,-1115.0120129893494,0.01
410,279,264.04736638231174,-612.9285319820142,0.01
411,168,246.31724549477514,-493.8340755660637,0.01
412,385,235.52576680440498,-717.3170241753699,0.01
413,236,227.233496156926,-653.0818352563679,0.01
414,257,273.6469483176793,-830.3190120419582,0.01
415,198,269.6018622586254,-410.6387235965829,0.01
416,201,292.8087432437885,-401.5602388896668,0.01
417,313,239.98440221481536,-609.7895111080445,0.01
418,688,245.15757750664227,-506.78381954184283,0.01
419,357,233.2171773720574,-736.8860670829642,0.01
420,395,239.35415531495318,-1237.4102817011458,0.01
421,264,294.56257116501604,-504.953092690693,0.01
422,396,227.60846708113576,-1004.4353564849191,0.01
423,144,52.45092675761626,-635.3514390325049,0.01
424,301,273.287653151879,-785.6300285806847,0.01
425,228,285.4144230983483,-372.8437253683543,0.01
426,187,258.20983277956014,-374.52852543121236,0.01
427,121,6.53055609986086,-597.6596332170079,0.01
428,889,215.04335844998735,-573.5718523294381,0.01
429,271,214.49375138318362,-585.2620685817377,0.01
430,292,209.5827016403769,-835.9795894077401,0.01
431,173,272.18192319887453,-344.64720074982625,0.01
432,226,248.59444845826891,-826.5886113314366,0.01
433,232,244.24923555957085,-742.3524495291914,0.01
434,396,223.50384115684625,-575.1651135153286,0.01
435,825,207.06456161876972,-1048.4337205455674,0.01
436,89,-24.559033617361607,-849.8325186520656,0.01
437,103,13.537822020927393,-524.5412311751973,0.01
438,198,287.81537760518415,-311.2190209002799,0.01
439,224,293.25198711294047,-424.26725571344355,0.01
440,245,275.4241375817627,-540.6138187225898,0.01
441,217,243.51398799591072,-687.3615763764885,0.01
442,118,16.197537031513022,-590.1390442168113,0.01
443,114,21.92441049325427,-545.5368551023757,0.01
444,230,251.93612365692672,-623.245083095295,0.01
445,331,244.65883379630407,-942.8766904951501,0.01
446,75,41.56129019272055,-457.0754023181971,0.01
447,471,220.75042094027648,-1283.7903252531023,0.01
448,149,15.322214414725522,-713.1941857820967,0.01
449,355,230.25714973675727,-1409.561991666082,0.01
450,197,221.67565843979204,-398.3361503951772,0.01
451,249,231.2761710919476,-477.0811158735261,0.01
452,259,249.56659380134388,-823.9205598002554,0.01
453,318,242.1128823854716,-460.5777519384819,0.01
454,60,-16.70684363523867,-461.74815222451826,0.01
455,402,274.4633723114936,-1021.8146934246934,0.01
456,1000,51.64290781584338,-899.5330845973467,0.01
457,88,-68.85663141284246,-737.0456792951752,0.01
458,354,-40.934708372793466,-1390.5013135017239,0.01
459,163,247.15004024656164,-444.97914105093423,0.01
460,245,265.61384869943964,-235.7181403020432,0.01
461,67,-52.747275466723835,-566.8630195531712,0.01
462,266,236.24886588135072,-767.5319165230052,0.01
463,86,25.932179486458367,-515.1460694874775,0.01
464,390,-93.33536213811593,-1663.761471985726,0.01
465,96,-98.8553858917178,-736.035918430049,0.01
466,368,184.81132683913415,-663.2005797770234,0.01
467,246,238.32881309412915,-513.5939555897422,0.01
468,229,257.0568999818106,-793.3039030448957,0.01
469,350,194.71240622508884,-1106.6835608037109,0.01
470,528,184.94692283103967,-852.3529733830217,0.01
471,282,291.23218918610246,-888.6165425351832,0.01
472,326,230.81810620299535,-729.9038114756072,0.01
473,78,-7.598858046263274,-608.8710388624218,0.01
474,1000,19.281568380588386,-1004.9077996736229,0.01
475,87,-35.892224495445745,-696.7877923298227,0.01
476,213,242.87238648222547,-241.89927312018585,0.01
477,89,33.168332858620374,-622.1757486065338,0.01
478,207,227.24093813365545,-521.9885660170614,0.01
479,341,228.9183811241082,-409.9401280886232,0.01
480,185,260.2262710604126,-625.8500877349863,0.01
481,503,279.2232053528019,-991.4229329688062,0.01
482,227,252.91059594582129,-603.9885218024315,0.01
483,218,254.60871264553,-401.384676553026,0.01
484,74,-18.673790414592006,-616.3818116679392,0.01
485,199,256.22719389658914,-812.9494923069839,0.01
486,174,43.13588226360318,-882.0793605068968,0.01
487,92,-78.82602979095016,-598.1660488214463,0.01
488,68,-63.73292674010295,-657.4340330499934,0.01
489,192,269.1712992883689,-639.4413966952426,0.01
490,73,-9.823848627385289,-492.2561576067176,0.01
491,89,-33.209998215940374,-802.3136664735338,0.01
492,80,-83.31979599757702,-666.0540750154721,0.01
493,61,-93.1038123165887,-585.4961298202788,0.01
494,139,-156.33140588058507,-660.5241143545859,0.01
495,229,232.39723385788167,-660.0206250079285,0.01
496,163,213.70506902474264,-455.88707211178405,0.01
497,76,-45.2049141411794,-625.6392718886148,0.01
498,494,175.99495464300364,-1178.6500212893097,0.01
499,276,325.8946213120281,-259.84696120344705,0.01
500,95,-50.502761342096306,-936.337590422946,0.01
501,332,233.0776953343182,-856.2319535958932,0.01
502,169,272.16237090775536,-294.7687467721688,0.01
503,76,-59.906906324780714,-702.4388312803273,0.01
504,198,238.34449569339674,-545.4682785127654,0.01
505,308,247.6256993608231,-354.49297729615074,0.01
506,199,226.51258930242608,-390.19552640938156,0.01
507,500,251.56466880041717,-349.9994043234645,0.01
508,259,255.76811259663543,-459.30113226240655,0.01
509,71,-14.230034307296819,-546.939539276249,0.01
510,202,236.61330764511615,-607.6030013397886,0.01
511,285,260.81728847947807,-516.8447814455121,0.01
512,150,-192.5453975099918,-1147.7144925065186,0.01
513,205,230.72303666530007,-619.7018632446948,0.01
514,159,246.79183325160764,-576.5219409890615,0.01
515,252,275.6375199233903,-714.0883883160983,0.01
516,193,243.7666716044263,-664.248059533238,0.01
517,151,37.54175674774518,-992.9171291352353,0.01
518,244,274.97537630128437,-603.4913643480253,0.01
519,209,217.75490203168647,-393.0427241139633,0.01
520,230,258.7194744016397,-855.0064114682948,0.01
521,312,221.2404316959981,-516.0003607982693,0.01
522,407,228.99293674777965,-1350.3182298445347,0.01
523,150,244.46452819419017,-385.11164831786493,0.01
524,87,-0.25133563017310223,-557.0133437011189,0.01
525,399,212.71415524835706,-1362.7009410981914,0.01
526,286,301.7494498269054,-795.5001291117754,0.01
527,215,229.23460132912604,-275.630776376884,0.01
528,69,-39.47113816162917,-612.254955736011,0.01
529,259,237.14038993538188,-1050.7715014058265,0.01
530,256,207.07326437207553,-761.1606573723201,0.01
531,207,249.25694131168734,-558.814126584984,0.01
532,409,292.6303267943362,-923.3067126177568,0.01
533,158,3.9977815574127646,-1039.6333622849447,0.01
534,544,223.3367458268017,-578.9320361052687,0.01
535,521,157.24200880379902,-1368.0109243130632,0.01
536,991,127.9535740257983,-1170.1610976091806,0.01
537,304,241.67326221108507,-388.693108245674,0.01
538,234,228.76055965684785,-904.2876392554449,0.01
539,607,173.6205491179618,-1039.6074060532064,0.01
540,298,208.56101918021278,-1073.2167109941497,0.01
541,203,234.94471411313657,-468.3064508632534,0.01
542,101,-167.35022595853715,-778.1926946505266,0.01
543,192,232.52792205548127,-384.9883157352148,0.01
544,263,256.4707427753838,-468.1784224461155,0.01
545,300,204.3242091046567,-442.3177885926402,0.01
